id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
957,Yasufumi Yamamoto,yyama,JPN,JPN,/profile-bio/men/Yasufumi_Yamamoto/,,,M
960,Leslie Hakala,lhaka,United States,USA,/profile-bio/women/Leslie_Hakala/,,,F
961,Rafael Figueredo,rfigu,COL,COL,/profile-bio/men/Rafael_Figueredo/,,,M
962,Martin Stringari,mstri,ARG,ARG,/profile-bio/men/Martin_Stringari/,,,M
963,Michel Lunesu,mlune,FRA,FRA,/profile-bio/men/Michel_Lunesu/,,,M
964,Eric Amend,eamen,USA,USA,/profile-bio/men/Eric_Amend/,,,M
965,Daniel Marco,dmarc_2,ESP,ESP,/profile-bio/men/Daniel_Marco/,,,M
966,Alexandra Grunow,agrun_2,Germany,DEU,/profile-bio/women/Alexandra_Grunow/,,,F
967,Karina Kuregian,kkure,XXX,XXX,/profile-bio/women/Karina_Kuregian/,,,F
968,Robert Henderson,rhend,USA,USA,/profile-bio/men/Robert_Henderson/,,,M
972,Rudiger Benz,rbenz,GER,DEU,/profile-bio/men/Rudiger_Benz/,,,M
973,Pedro Cordeiro,pcord,POR,PRT,/profile-bio/men/Pedro_Cordeiro/,,,M
974,Ilana Berger,iberg,Israel,ISR,/profile-bio/women/Ilana_Berger/,,,F
975,Il-Soon Kim,iskim,South Korea,XXX,/profile-bio/women/Il-Soon_Kim/,,,F
977,Masako Morikawa,mmori,Japan,JPN,/profile-bio/women/Masako_Morikawa/,,,F
979,Sebastian Pacheco,spach,ARG,ARG,/profile-bio/men/Sebastian_Pacheco/,,,M
981,Sabine Lohmann,slohm,Germany,DEU,/profile-bio/women/Sabine_Lohmann/,,,F
982,Fabian Blengino,fblen,ARG,ARG,/profile-bio/men/Fabian_Blengino/,,,M
983,Armin Kopf,akopf,GER,DEU,/profile-bio/men/Armin_Kopf/,,,M
984,Mikael Stadling,mstad,SWE,SWE,/profile-bio/men/Mikael_Stadling/,,,M
985,Andreas Buchwald,abuch,AUT,AUT,/profile-bio/men/Andreas_Buchwald/,,,M
986,Peter Wright,pwrig,USA,USA,/profile-bio/men/Peter_Wright/,,,M
988,William Kyriakos,wkyri,BRA,BRA,/profile-bio/men/William_Kyriakos/,,,M
993,Oliver Trott,otrot,GER,DEU,/profile-bio/men/Oliver_Trott/,,,M
996,Stanislav Birner,sbirn,CZE,CZE,/profile-bio/men/Stanislav_Birner/,,,M
997,Roberto Conti,rcont,ITA,ITA,/profile-bio/men/Roberto_Conti/,,,M
998,Francesco Michelotti,fmich,ITA,ITA,/profile-bio/men/Francesco_Michelotti/,,,M
